"Name","NpcDialogId","DialogValue","DialogVoice"
"1","1","(1)",""
"2","2","(2)",""
"3","3","(3)",""
"4","4","(4)",""
"5","5","(5)",""
"100","100","(1000)",""
"102","102","(1002)",""
"106","106","(1006)",""
"108","108","(1008)",""
"112","112","(1012)",""
"115","115","(1015)",""
"116","116","(1016)",""
"117","117","(1017)",""
"120","120","(1020)",""
"125","125","(1025)",""
"126","126","(1026)",""
"128","128","(1028)",""
"129","129","(1029)",""
"133","133","(1033)",""
"137","137","(1037)",""
"140","140","(2001)",""
"144","144","(2005)",""
"149","149","(2010)",""
"151","151","(2012)",""
"156","156","(2017)",""
"157","157","(2018)",""
"161","161","(2022)",""
"162","162","(2023)",""
"163","163","(2024)",""
"164","164","(2025)",""
"168","168","(2029)",""
"170","170","(2031)",""
"173","173","(2034)",""
"174","174","(2035)",""
"176","176","(2037)",""
"178","178","(2039)",""
"179","179","(2040)",""
"181","181","(2042)",""
"182","182","(2043)",""
"183","183","(2044)",""
"186","186","(2047)",""
"189","189","(2050)",""
"190","190","(2051)",""
"191","191","(2052)",""
"193","193","(2054)",""
"195","195","(2056)",""
"199","199","(2060)",""
"201","201","(2062)",""
"203","203","(2064)",""
"204","204","(2065)",""
"207","207","(2068)",""
"210","210","(2071)",""
"212","212","(2073)",""
"216","216","(2077)",""
"217","217","(2078)",""
"220","220","(2081)",""
"221","221","(2082)",""
"222","222","(2083)",""
"223","223","(2084)",""
"229","229","(2090)",""
"231","231","(2092)",""
"233","233","(2094)",""
"238","238","(2099)",""
"240","240","(2101)",""
"241","241","(2102)",""
"243","243","(2104)",""
"244","244","(2105)",""
"250","250","(3003)",""
"252","252","(3005)",""
"256","256","(3009)",""
"259","259","(3012)",""
"260","260","(3013)",""
"262","262","(3015)",""
"263","263","(3016)",""
"266","266","(3019)",""
"267","267","(3020)",""
"273","273","(3026)",""
"276","276","(3029)",""
"277","277","(3030)",""
"279","279","(3032)",""
"280","280","(3033)",""
"282","282","(3035)",""
"285","285","(1039)",""
"286","286","(1040)",""
"287","287","(1041)",""
"288","288","(2108)",""
"290","290","(2110)",""
"291","291","(2111)",""
"294","294","(2114)",""
"297","297","(3039)",""
"298","298","(3040)",""
"300","300","(3042)",""
"301","301","(3043)",""
"305","305","(3047)",""
"306","306","(3048)",""
"309","309","(3051)",""
"315","315","(3054)",""
"317","317","(3056)",""
"320","320","(3059)",""
"325","325","(3064)",""
"326","326","(3065)",""
"328","328","(3067)",""
"330","330","(3069)",""
"331","331","(3070)",""
"334","334","(3073)",""
"335","335","(3077)",""
"337","337","(3078)",""
"338","338","(3079)",""
"339","339","(3080)",""
"340","340","(3081)",""
"341","341","(3082)",""
"342","342","(3083)",""
"343","343","(3084)",""
"344","344","(3085)",""
"10003","10003","(50001)",""
"10008","10008","(50006)",""
"10009","10009","(50007)",""
"10010","10010","(50008)",""
"10011","10011","(50009)",""
"10012","10012","(50010)",""
"10013","10013","(50011)",""
"10014","10014","(50012)",""
"10015","10015","(50013)",""
"10016","10016","(50014)",""
"10017","10017","(50015)",""
"10018","10018","(50016)",""
"10019","10019","(50017)",""
"10020","10020","(50018)",""
"10021","10021","(50019)",""
"10023","10023","(50021)",""
"10024","10024","(50022)",""
"10025","10025","(50023)",""
"10026","10026","(50024)",""
"10027","10027","(50025)",""
"10028","10028","(50026,50073)",""
"10029","10029","(50027)",""
"10030","10030","(50028)",""
"10031","10031","(50029,50074)",""
"10032","10032","(50030)",""
"10033","10033","(50031)",""
"10034","10034","(50032)",""
"10035","10035","(50033)",""
"10036","10036","(50034)",""
"10037","10037","(50035)",""
"10038","10038","(50036)",""
"10039","10039","(50037)",""
"10040","10040","(50038)",""
"10041","10041","(50039)",""
"10042","10042","(50040)",""
"10043","10043","(50041)",""
"10044","10044","(50042)",""
"10045","10045","(50043)",""
"10046","10046","(50044)",""
"10047","10047","(50045)",""
"10048","10048","(50046)",""
"10049","10049","(50047)",""
"10050","10050","(50048)",""
"10051","10051","(50049)",""
"10052","10052","(50050)",""
"10053","10053","(50051)",""
"10054","10054","(50052)",""
"10055","10055","(50053)",""
"10057","10057","(50190)",""
"10060","10060","(50061)",""
"10061","10061","(50062)",""
"10062","10062","(50063)",""
"10063","10063","(50064)",""
"10064","10064","(50065)",""
"10065","10065","(50066)",""
"10066","10066","(50067)",""
"10067","10067","(50068)",""
"10068","10068","(50069)",""
"10069","10069","(50070)",""
"10070","10070","(50075)",""
"10071","10071","(50076)",""
"10072","10072","(50077)",""
"10073","10073","(50078)",""
"10074","10074","(50079)",""
"10075","10075","(50080)",""
"10076","10076","(50081)",""
"10077","10077","(50082)",""
"10078","10078","(50083)",""
"10079","10079","(50084)",""
"10080","10080","(50085,50086)",""
"10082","10082","(50087)",""
"10083","10083","(50088,50089)",""
"10084","10084","(50090)",""
"10086","10086","(50093)",""
"10087","10087","(50094)",""
"10088","10088","(50095)",""
"10089","10089","(50096)",""
"10090","10090","(50097)",""
"10091","10091","(50099)",""
"10092","10092","(50100)",""
