"Name","ScheduleID","ViewWeek","ViewHour","ViewMinute","HideHour","HideMinute"
"1","1","0","18","0","23","59"
"2","2","6","24","1","23","59"
"3","3","7","24","1","1","0"
"4","4","1","1","0","23","59"
"5","5","2","1","0","23","59"
"6","6","1","13","0","14","0"
"7","7","3","13","0","14","0"
"8","8","5","15","5","15","7"
"9","9","5","15","10","15","12"
"10","10","5","15","15","15","17"
"11","11","5","15","20","15","22"
"12","12","5","15","25","15","27"
"13","13","0","9","30","9","40"
"14","14","0","9","50","10","0"
"15","15","0","10","10","10","30"
"16","16","0","10","40","11","0"
"17","17","0","11","10","11","30"
"18","18","0","11","40","12","0"
"19","19","0","13","40","14","0"
"20","20","0","14","10","14","30"
"21","21","0","14","40","15","0"
"22","22","0","15","10","15","30"
"23","23","0","15","40","16","0"
"24","24","0","16","10","16","30"
"25","25","0","16","40","17","0"
"26","26","0","17","10","17","30"
"27","27","0","17","40","18","0"
"28","28","0","18","10","18","30"
"29","29","0","22","0","23","0"
"30","30","0","22","0","23","0"
"31","31","0","22","0","23","0"
