"Name","QuestId","Script"
"102002100","102002100","0"
"102002200","102002200","0"
"102002300","102002300","0"
"100002600","100002600","0"
"100002700","100002700","0"
"100002800","100002800","NPCSHOW 1001 (-1106,-2709,9970,94)/NPCSHOW 1003 (-976,-2619,9980,169)/NPCSHOW 1004 (-1293,-2704,9970,59)"
"100002900","100002900","NPCSHOW 1001 (-12490,-13030,8910,91)/NPCSHOW 1003 (-976,-2619,9980,169)/NPCSHOW 1004 (-1293,-2704,9970,89)/NPCSHOW 2034 (-1460,-2390,9970,-31)"
"100002950","100002950","NPCSHOW 1001 (-12490,-13030,8910,91)/NPCSHOW 1003 (-976,-2619,9980,169)/NPCSHOW 1004 (-1293,-2704,9970,89)/NPCSHOW 2034 (-1460,-2390,9970,-31)"
"100003100","100003100","NPCSHOW 1001 (-12490,-13030,8910,91)/NPCSHOW 1003 (-976,-2619,9980,169)/NPCSHOW 1004 (-1293,-2704,9970,89)/NPCSHOW 2034 (-1460,-2390,9970,-31)"
"100003110","100003110","NPCSHOW 1001 (-12490,-13030,8910,91)"
"100003200","100003200","NPCSHOW 1001 (-12490,-13030,8910,91)"
"100003300","100003300","NPCSHOW 1001 (-12490,-13030,8910,92)"
"100003400","100003400","NPCSHOW 1001 (-12490,-13030,8910,92)"
"100003500","100003500","NPCSHOW 1003 (-7560,-12510,9050,20)"
"100003600","100003600","NPCSHOW 1001 (1460,-3280,9960,90)/NPCSHOW 1002 (1610,-3110,9970,-169)"
"100003900","100003900","NPCSHOW 1001 (1460,-3280,9960,90)/NPCSHOW 1002 (1610,-3110,9970,-169)/NPCSHOW 1003 (8400,-11151,10780,-66)"
"100004110","100004110","NPCSHOW 1001 (1460,-3280,9960,90)/NPCSHOW 1002 (1610,-3110,9970,-169)/NPCSHOW 1003 (8400,-11151,10780,-66)"
"100004120","100004120","NPCSHOW 1003 (8400,-11151,10780,-66)"
"100004130","100004130","NPCSHOW 1003 (15484,-12659,11700,42)"
"100004200","100004200","NPCSHOW 1003 (14534,-9929,11900,12)"
"100004400","100004400","NPCSHOW 1003 (14534,-9929,11908,119)"
"100004500","100004500","0"
"100004760","100004760","0"
"100005300","100005300","NPCSHOW 1001 (3964,-1889,9990,-46)/NPCSHOW 1003 (3070,-4310,9980,66)"
"100005350","100005350","0"
"100005400","100005400","0"
"100005600","100005600","0"
"100005650","100005650","0"
"100006200","100006200","0"
"100006400","100006400","0"
"100006500","100006500","NPCSHOW 1001 (170,-10770,2010,180)/NPCSHOW 1003 (20,-10540,2040,-152)"
"100006550","100006550","NPCSHOW 1001 (-4010,-9620,2080,20)/NPCSHOW 1003 (-4010,-9400,2080,-28)"
"100006600","100006600","NPCSHOW 1001 (-4010,-9620,2080,20)/NPCSHOW 1003 (-4010,-9400,2080,-28)"
"100006650","100006650","NPCSHOW 1003 (-730,-8370,1670,90)/NPCSHOW 3746 (-3767,-8621,2076,-101)"
"100006700","100006700","NPCSHOW 1003 (-730,-8370,1670,90)"
"100007000","100007000","NPCSHOW 1003 (-730,-8370,1670,90)"
"100007200","100007200","NPCSHOW 1003 (-1020,-1020,940,-110)"
"100007300","100007300","NPCSHOW 1003 (-1020,-1020,940,-110)"
"100007400","100007400","NPCSHOW 1001 (-1480,3230,920,110)/NPCSHOW 1003 (-1720,3010,910,110)"
"100007500","100007500","NPCSHOW 1001 (-1480,3230,920,110)/NPCSHOW 1003 (-1720,3010,910,110)"
"100007600","100007600","NPCSHOW 1001 (-420,3730,910,-110)/NPCSHOW 1003 (-120,3510,910,-150)"
"100007800","100007800","NPCSHOW 1003 (-120,3510,910,-150)"
"100007900","100007900","NPCSHOW 1003 (-120,3510,910,-150)"
"100008000","100008000","NPCSHOW 1003 (-120,3510,910,161)"
"100008100","100008100","NPCSHOW 1003 (580,4000,910,81)"
"100008200","100008200","NPCSHOW 1003 (580,4000,910,81)"
"100008300","100008300","0"
"100008450","100008450","NPCSHOW 1003 (2567,9883,1040,31)"
"100008600","100008600","NPCSHOW 1003 (2567,9883,1040,31)"
"100000000","100000000","0"
"100000010","100000010","0"
"100000020","100000020","NPCSHOW 2031 (33816,70474,9042,166)"
"100000030","100000030","NPCSHOW 2031 (33816,70474,9042,166)/NPCSHOW 40401 (37638,67947,8954,50)"
"100000035","100000035","NPCSHOW 40401 (37638,67947,8954,50)"
"100000040","100000040","0"
"100000050","100000050","0"
"100000100","100000100","NPCSHOW 1002 (11930,-240,6237,-43)/NPCSHOW 2025 (11430,760,6450,30)/NPCSHOW 4040 (7205,-2451,6268,39)/NPCSHOW 5094 (12217,1567,6132,-109)"
"100000200","100000200","NPCSHOW 1002 (11930,-240,6237,-29)/NPCSHOW 2025 (11430,760,6450,30)/NPCSHOW 5094 (12217,1567,6132,-109)"
"100000300","100000300","NPCSHOW 1002 (11930,-240,6237,-29)/NPCSHOW 2025 (11430,760,6450,30)/NPCSHOW 5094 (12217,1567,6132,-109)"
"100000400","100000400","NPCSHOW 1002 (11930,-240,6237,-29)/NPCSHOW 2025 (11430,760,6450,30)/NPCSHOW 5094 (12217,1567,6132,-109)"
"100000500","100000500","NPCSHOW 1002 (11930,-240,6237,-29)/NPCSHOW 1003 (-7470,1640,3762,133)/NPCSHOW 2025 (11430,760,6450,30)/NPCSHOW 5094 (12217,1567,6132,-109)"
"100000700","100000700","NPCSHOW 1002 (11930,-240,6237,-29)/NPCSHOW 1003 (-7470,1640,3762,133)/NPCSHOW 2025 (11430,760,6450,30)/NPCSHOW 5094 (12217,1567,6132,-109)"
"100000750","100000750","NPCSHOW 1002 (11930,-240,6237,-29)/NPCSHOW 2025 (11430,760,6450,30)/NPCSHOW 5094 (12217,1567,6132,-109)"
"100001300","100001300","NPCSHOW 1002 (11930,-240,6237,-29)"
"100001400","100001400","NPCSHOW 1002 (11930,-240,6237,-29)"
"100001500","100001500","0"
"100001600","100001600","0"
"100001700","100001700","0"
