"Name","CraftId","ItemId","ItemCount","GetWayType","NeedCostType01","NeedCostCount01","NeedCostType02","NeedCostCount02","MaterialType01","MaterialId01","MaterialCount01","MaterialName01","MaterialGrade01","MaterialType02","MaterialId02","MaterialCount02","MaterialName02","MaterialGrade02","MaterialType03","MaterialId03","MaterialCount03","MaterialName03","MaterialGrade03","MaterialType04","MaterialId04","MaterialCount04","MaterialName04","MaterialGrade04"
"1","1","230120001","1","1","2","100","11","100","2","1701000007","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","230120002","1","1","2","150","11","150","2","2","2","201703002","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","3","230120003","1","1","2","200","11","200","1","1701000007","1","0","0","1","1701000009","1","0","0","0","0","0","0","0","0","0","0","0","0"
"4","4","230120004","1","1","2","250","11","250","1","1701000007","2","0","0","2","2","2","201703002","3","0","0","0","0","0","0","0","0","0","0"
"5","5","230120005","1","1","2","300","11","300","2","2","1","201703002","3","2","2","1","201703002","3","0","0","0","0","0","0","0","0","0","0"
"6","6","230120006","1","1","2","350","11","350","1","1701000007","2","0","0","1","1701000009","2","0","0","1","1701000012","2","0","0","0","0","0","0","0"
"7","7","230120007","2","1","2","400","11","400","1","1701000007","1","0","0","1","1701000009","1","0","0","2","2","1","201703002","3","0","0","0","0","0"
"8","8","230120008","2","1","2","450","11","450","1","1701000007","2","0","0","2","2","2","201703002","3","2","2","2","201703002","3","0","0","0","0","0"
"9","9","230120009","2","1","2","500","11","500","2","2","1","201703002","3","2","2","1","201703002","3","2","2","1","201703002","3","0","0","0","0","0"
"10","10","230120010","2","1","2","550","11","550","1","1701000007","2","0","0","1","1701000009","2","0","0","1","1701000012","2","0","0","1","1701000013","2","0","0"
"11","11","230120011","2","1","2","600","11","600","1","1701000007","1","0","0","1","1701000009","1","0","0","1","1701000012","1","0","0","2","2","1","201703002","3"
"12","12","230120012","2","1","2","650","11","650","1","1701000007","2","0","0","1","1701000009","2","0","0","2","2","2","201703002","3","2","2","2","201703002","3"
"13","13","230120013","2","1","2","700","11","700","1","1701000007","1","0","0","2","2","1","201703002","3","2","2","1","201703002","3","2","2","1","201703002","3"
"14","14","230120014","2","1","2","750","11","750","2","2","2","201703002","3","2","2","2","201703002","3","2","2","2","201703002","3","2","2","2","201703002","3"
"15","15","230120001","10","1","2","1000000","11","1500000","2","3","1","201703002","4","2","3","1","201703002","4","0","0","0","0","0","0","0","0","0","0"
"16","16","230120002","20","1","2","2000000","11","3000000","2","4","100","201703002","3","2","5","1000","201703002","4","0","0","0","0","0","0","0","0","0","0"
"17","17","230120003","30","1","2","3000000","11","4500000","2","6","100","201703002","3","2","6","100","201703002","3","0","0","0","0","0","0","0","0","0","0"
"18","18","230120004","40","1","2","4000000","11","6000000","2","7","1000","201703002","3","2","6","100","201703002","3","0","0","0","0","0","0","0","0","0","0"
"19","19","230120005","50","1","2","5000000","11","7500000","2","3","100","201703002","4","0","0","150","0","0","0","0","0","0","0","0","0","0","0","0"
"20","20","230120006","60","1","2","6000000","11","9000000","1","1701000007","100","0","0","1","1701000009","150","0","0","1","1701000012","200","0","0","0","0","0","0","0"
"21","21","230120007","70","1","2","7000000","11","10500000","1","1701000007","100","0","0","1","1701000009","150","0","0","2","2","200","201703002","3","0","0","0","0","0"
"22","22","230120008","80","1","2","8000000","11","12000000","1","1701000007","100","0","0","2","2","150","201703002","3","2","2","200","201703002","3","0","0","0","0","0"
"23","23","230120009","90","1","2","9000000","11","13500000","2","2","100","201703002","3","2","2","150","201703002","3","2","2","200","201703002","3","0","0","0","0","0"
"24","24","230120010","100","1","2","10000000","11","15000000","1","1701000007","100","0","0","1","1701000009","150","0","0","1","1701000012","200","0","0","1","1701000013","300","0","0"
"25","25","230120011","110","1","2","11000000","11","16500000","1","1701000007","100","0","0","1","1701000009","150","0","0","1","1701000012","200","0","0","2","2","300","201703002","3"
"26","26","230120012","120","1","2","12000000","11","18000000","1","1701000007","100","0","0","1","1701000009","150","0","0","2","2","200","201703002","3","2","2","300","201703002","3"
"27","27","230120013","130","1","2","13000000","11","19500000","1","1701000007","100","0","0","2","2","150","201703002","3","2","2","200","201703002","3","2","2","300","201703002","3"
"28","28","230120014","1","1","2","14000000","11","21000000","2","1000","1","201703002","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000","1000","602202762","1","1","2","10000000","11","1000000","2","1001","1","6600001","4","1","908000003","1","0","4","0","0","0","0","0","0","0","0","0","0"
"1001","1001","602202763","1","1","2","20000000","11","2000000","2","2001","1","6600003","4","2","2001","1","6600003","4","0","0","0","0","0","0","0","0","0","0"
"1002","1002","602202764","1","1","2","40000000","11","5000000","2","1002","1","6600002","5","1","908000004","1","0","5","0","0","0","0","0","0","0","0","0","0"
"1003","1003","602202765","1","1","2","80000000","11","10000000","2","2002","1","6600004","5","2","2002","1","6600004","5","0","0","0","0","0","0","0","0","0","0"
"2003","2003","503320001","1","1","2","40000","12","20000","1","521000001","10","0","0","1","901000402","10","0","0","1","901001007","10","0","0","0","0","0","0","0"
