"Name","RowId","MaterialGroupId","GroupMaterialType","MaterialUseId","MaterialMainType","MaterialSubType","MaterialTier","MaterialGrade"
"1","1","1","0","1701000004","0","0","0","0"
"2","2","1","0","1701000007","0","0","0","0"
"3","3","1","0","1701000009","0","0","0","0"
"4","4","1","0","1701000012","0","0","0","0"
"5","5","1","0","1701000013","0","0","0","0"
"6","6","2","1","0","17","1","1","3"
"7","7","3","1","0","17","1","1","4"
"8","8","3","1","0","23","1","1","4"
"9","9","4","0","1707000001","0","0","0","0"
"10","10","4","1","0","17","1","1","3"
"11","11","5","0","1707000002","0","0","0","0"
"12","12","5","1","0","17","1","1","4"
"13","13","6","1","0","17","1","1","3"
"14","14","6","1","0","17","1","1","3"
"15","15","7","1","0","17","1","1","3"
"16","16","7","0","1701000007","0","0","0","0"
"1000","1000","1000","1","0","17","1","1","3"
"1001","1001","1001","1","0","17","1","1","4"
"1002","1002","1002","1","0","17","1","1","5"
"2001","2001","2001","1","0","23","1","1","4"
"2002","2002","2002","1","0","23","1","1","5"
