"Name","RowId","ShopId","OpenOrder","Type","OpenTime","CloseTime","RefreshTime","RefreshPermission","RefreshMoneyType","RefreshMoneyChain","RefreshMoneyValue","RefreshMoneyIncrease","DisplayUi","GoodsSelect1","GoodsGroupId1","GoodsCount1","GoodsSelect2","GoodsGroupId2","GoodsCount2","GoodsSelect3","GoodsGroupId3","GoodsCount3","EventType","DominionId"
"2","2","2102","1","1","0","0","(0)","1","0","0","0","0","1","1","1","13","0","0","0","0","0","0","0","0"
"4","4","2104","1","1","0","0","(0)","1","0","0","0","0","1","1","1","9","0","0","0","0","0","0","0","0"
"8","8","2108","1","1","0","0","(0)","1","0","0","0","0","1","1","1","8","0","0","0","0","0","0","0","0"
"24","24","3501","1","5","0","0","(0)","0","0","0","0","0","2","1","1","5","0","0","0","0","0","0","0","3005"
"25","25","3502","1","5","0","0","(0)","0","0","0","0","0","2","1","1","5","0","0","0","0","0","0","0","3010"
"26","26","3503","1","5","0","0","(0)","0","0","0","0","0","2","1","1","5","0","0","0","0","0","0","0","3024"
"27","27","5000","1","1","0","0","(0)","0","0","0","0","0","1","1","1","6","0","0","0","0","0","0","0","0"
"28","28","5010","1","1","0","0","(0)","0","0","0","0","0","1","1","1","6","0","0","0","0","0","0","0","0"
"29","29","5020","1","1","0","0","(0)","0","0","0","0","0","1","1","1","8","0","0","0","0","0","0","0","0"
"30","30","5030","1","1","0","0","(0)","0","0","0","0","0","1","1","1","10","0","0","0","0","0","0","0","0"
"31","31","5040","1","1","0","0","(0)","0","0","0","0","0","1","1","1","13","0","0","0","0","0","0","0","0"
"32","32","5050","1","1","0","0","(0)","0","0","0","0","0","1","1","1","8","0","0","0","0","0","0","0","0"
"33","33","5060","1","1","0","0","(0)","0","0","0","0","0","1","1","1","30","0","0","0","0","0","0","0","0"
"34","34","9000","1","1","0","0","(0)","0","0","0","0","0","1","1","1","16","0","0","0","0","0","0","1","0"
"35","35","9001","1","1","0","0","(0)","0","0","0","0","0","1","1","1","16","0","0","0","0","0","0","1","0"
"36","36","9002","1","1","0","0","(0)","0","0","0","0","0","1","1","1","16","0","0","0","0","0","0","1","0"
"37","37","9010","1","1","0","0","(0)","0","0","0","0","0","1","1","1","16","0","0","0","0","0","0","1","0"
"38","38","9011","1","1","0","0","(0)","0","0","0","0","0","1","1","1","16","0","0","0","0","0","0","1","0"
"39","39","9012","1","1","0","0","(0)","0","0","0","0","0","1","1","1","13","0","0","0","0","0","0","1","0"
"40","40","9013","1","1","0","0","(0)","0","0","0","0","0","1","1","1","3","0","0","0","0","0","0","1","0"
"41","41","9014","1","1","0","0","(0)","0","0","0","0","0","1","1","1","16","0","0","0","0","0","0","1","0"
"42","42","6001","1","1","0","0","(0)","0","0","0","0","0","1","1","1","16","0","0","0","0","0","0","1","0"
"43","43","6002","1","1","0","0","(0)","0","0","0","0","0","1","1","1","16","0","0","0","0","0","0","1","0"
"44","44","9015","1","1","0","0","(0)","0","0","0","0","0","1","1","1","19","0","0","0","0","0","0","1","0"
"45","45","9016","1","1","0","0","(0)","0","0","0","0","0","1","1","1","7","0","0","0","0","0","0","1","0"
"46","46","9017","1","1","0","0","(0)","0","0","0","0","0","1","1","1","20","0","0","0","0","0","0","1","0"
"47","47","9018","1","1","0","0","(0)","0","0","0","0","0","1","1","1","14","0","0","0","0","0","0","1","0"
"48","48","9019","1","1","0","0","(0)","0","0","0","0","0","1","1","1","20","0","0","0","0","0","0","1","0"
"49","49","9020","1","1","0","0","(0)","0","0","0","0","0","1","1","1","12","0","0","0","0","0","0","1","0"
"50","50","9021","1","1","0","0","(0)","0","0","0","0","0","1","1","1","8","0","0","0","0","0","0","1","0"
"51","51","9022","1","1","0","0","(0)","0","0","0","0","0","1","1","1","17","0","0","0","0","0","0","1","0"
"52","52","9023","1","1","0","0","(0)","0","0","0","0","0","1","1","1","7","0","0","0","0","0","0","1","0"
"53","53","9024","1","1","0","0","(0)","0","0","0","0","0","1","1","1","7","0","0","0","0","0","0","1","0"
"54","54","5070","1","1","0","0","(0)","0","0","0","0","0","1","1","1","9","0","0","0","0","0","0","1","0"
"55","55","9025","1","1","0","0","(0)","0","0","0","0","0","1","1","1","17","0","0","0","0","0","0","1","0"
"56","56","5071","1","1","0","0","(0)","0","0","0","0","0","1","1","1","4","0","0","0","0","0","0","0","0"
"57","57","9026","1","1","0","0","(0)","0","0","0","0","0","1","1","1","17","0","0","0","0","0","0","1","0"
