"Name","ObjectId","ObjectGatherType","ObjectType","ObjectNameSid","CastingDesc","ChattingStringId","ChattingStringId2","IsBossDropRewardBox","ResourceId","ObjectScale","ObjectNameOnOff","ObjectLifeTime","CollectActivationType","CollectActivationValue","AlwaysVisible","AlwaysVisibleOff","CollectActivationString","CollectQualificationType","CollectQualificationValue","CollectMethod","InteractionRange","ProgressRangeInteraction","ProgressRange","BroadcastingSize","CollectCountMin","CollectCountMax","CastingTime","CollectIcon","FixedDropItemId","IconCoordinate","DecalScale","CollectAniType","EffectScale","ObjectLoopFxId","ObjectGenFxId","ObjectAniOnOff","ABPLink","ObjectDisappearTime","DropItemId","MonGenType","MonsterID","SpawnCount","SpawnRange","MonGenValue","LinkOccupationId","GetWayType","GenMessageStringTemplateIdTitle","GenMessageStringTemplateIdContent","QuestDropId","ObjectGrade","ObjectRadius","BuffId","BuffOverLap","MiniMapList_Show","ServerLogEventType"
"2","2","0","0","2100002","2200001","0","0","0","40018","1","0","0","(1)","(0)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"20000","20000","0","0","0","0","0","0","0","40003","1.5","0","0","(0)","(0)","1","0","0","0","0","1","350","175","175","0","1","1","4","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400040","0","0","0","0","0","0","0","0","0","0","0","(0)","0","0","0","0","0","0"
"20001","20001","0","0","0","2200001","0","0","0","45026","0.2","0","0","(0)","(0)","0","0","0","0","0","0","350","0","175","0","0","0","10","1000020","0","(x=0, y=0, z=-20000)","1","1","3","220629","0","0","400038","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"20002","20002","0","0","0","2200001","0","0","0","45027","0.105","0","0","(0)","(0)","0","0","0","0","0","0","350","0","175","0","0","0","10","1000020","0","(x=0, y=0, z=-20000)","1","1","1","0","0","0","400038","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"20003","20003","0","0","0","2200001","0","0","0","45028","1","0","0","(0)","(0)","0","0","0","0","0","0","350","0","175","0","0","0","10","1000020","0","(x=0, y=0, z=-20000)","1","1","1","0","0","0","210481","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"29999","29999","0","0","0","0","0","0","0","40003","1.5","0","0","(0)","(0)","1","0","0","0","0","1","350","175","175","0","1","1","4","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400040","0","0","0","0","0","0","0","0","0","0","0","(0)","0","0","0","0","0","0"
"100000000","100000000","0","0","0","0","0","0","0","40003","1.5","0","0","(0)","(0)","1","0","0","0","0","1","350","175","175","0","1","1","4","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400040","0","0","0","0","0","0","0","0","0","0","0","(0)","0","0","0","0","0","0"
"100001007","100001007","0","0","2100057","2210001","0","0","0","40022","1","0","0","(1)","(100000700)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"100002004","100002004","0","0","2105003","2210002","0","0","0","40022","1","0","0","(1)","(100002480)","1","0","0","0","0","1","500","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400031","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"100002005","100002005","0","0","2160003","2210002","0","0","0","40022","1","0","0","(1)","(100002500)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400031","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
