"Name","PetId","Tier","NameId","Origin","TagNameId","IconId","PETBuffIconId","GachaIconId","GachaFixImgOffset","LuxuryType","CostumePartsType","IngameMeshId","OutgameMeshId","OutgameAnimResourceId","IngameAnimResourceId","UnlockNeedItemId","UnlockNeedItemUseId","UnlockNeedItemCount","GradeUpNeedCostType","GradeUpNeedCostValue","LvUpNeedPetItemUseId","GradeUpNeedItemCount01","GradeUpNeedItemUseId02","GradeUpNeedItemCount02","Global_Attribute1Type","Global_Attribute1Value","Global_Attribute2Type","Global_Attribute2Value","SkillId01","SkillId02","SkillId03","SkillId04","SkillId05","SkillId06","SpeechTxtUi","SpeechTxtEquip","SpeechTxtDie"
"101","101","2","4800002","1","4810002","3410001","3450001","231708001","(0,0)","0","0","400001","410001","31001","41004","1701200001","1701000001","1","2","15000","1701000001","1","508000001","10","26","5","0","0","1001","0","0","0","0","0","(4820002,4820003,4820004)","(4831001,4831002,4831003)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"201","201","2","4800003","1","4810002","3410002","3450002","231708002","(0,0)","0","0","400002","410002","31002","41002","1701200002","1701000002","1","2","15000","1701000002","1","508000001","10","20","5","0","0","2001","0","0","0","0","0","(4820011,4820012,4820013)","(4831011,4831012,4831013)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"301","301","2","4800004","1","4810002","3410003","3450003","231708003","(0,0)","0","0","400003","410003","31003","41004","1701200003","1701000003","1","2","15000","1701000003","1","508000001","10","24","5","0","0","3001","0","0","0","0","0","(4820021,4820022,4820023)","(4831021,4831022,4831023)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"401","401","3","4800005","1","4810002","3410004","3450004","231708004","(0,0)","0","0","400004","410004","31004","41004","1701200004","1701000004","1","2","300000","1701000004","1","508000002","15","20","10","0","0","4001","4002","0","0","0","0","(4820031,4820032,4820033)","(4831031,4831032,4831033)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"501","501","2","4800006","1","4810002","3410005","3450005","231708005","(0,0)","0","0","400005","410005","31005","41002","1701200005","1701000005","1","2","15000","1701000005","1","508000001","10","22","5","0","0","5001","0","0","0","0","0","(4820041,4820042,4820043)","(4831041,4831042,4831043)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"601","601","2","4800007","1","4810002","3410006","3450006","231708006","(0,0)","0","0","400006","410006","31006","41001","1701200006","1701000006","1","2","15000","1701000006","1","508000001","10","20","5","0","0","6001","0","0","0","0","0","(4820051,4820052,4820053)","(4831051,4831052,4831053)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"701","701","3","4800008","4","4810005","3410007","3450007","231708007","(0,0)","0","0","400007","410007","31007","41003","1701200007","1701000007","1","2","300000","1701000007","1","508000002","15","26","10","0","0","7001","7002","0","0","0","0","(4820061,4820062,4820063)","(4831061,4831062,4831063)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"801","801","2","4800009","1","4810002","3410008","3450008","231708008","(0,0)","0","0","400008","410008","31008","41002","1701200008","1701000008","1","2","15000","1701000008","1","508000001","10","24","5","0","0","8001","0","0","0","0","0","(4820071,4820072,4820073)","(4831071,4831072,4831073)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"901","901","3","4800010","1","4810002","3410009","3450009","231708009","(0,0)","0","0","400009","410009","31009","41004","1701200009","1701000009","1","2","300000","1701000009","1","508000002","15","24","10","0","0","9001","9002","0","0","0","0","(4820081,4820082,4820083)","(4831081,4831082,4831083)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1001","1001","2","4800011","1","4810002","3410010","3450010","231708010","(0,0)","0","0","400010","410010","31010","41005","1701200010","1701000010","1","2","15000","1701000010","1","508000001","10","22","5","0","0","10001","0","0","0","0","0","(4820091,4820092,4820093)","(4831091,4831092,4831093)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1101","1101","2","4800012","1","4810002","3410011","3450011","231708011","(0,0)","0","0","400011","410011","31011","41004","1701200011","1701000011","1","2","15000","1701000011","1","508000001","10","26","5","0","0","11001","0","0","0","0","0","(4820101,4820102,4820103)","(4831101,4831102,4831103)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1201","1201","3","4800013","5","4810006","3410012","3450012","231708012","(0,0)","0","0","400012","410012","31012","41003","1701200012","1701000012","1","2","300000","1701000012","1","508000002","15","22","10","0","0","12001","12002","0","0","0","0","(4820111,4820112,4820113)","(4831111,4831112,4831113)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1301","1301","3","4800014","5","4810006","3410013","3450013","231708013","(0,0)","0","0","400013","410013","31013","41003","1701200013","1701000013","1","2","300000","1701000013","1","508000002","15","20","10","0","0","13001","13002","0","0","0","0","(4820121,4820122,4820123)","(4831121,4831122,4831123)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1401","1401","2","4800015","1","4810002","3410014","3450014","231708014","(0,0)","0","0","400014","410014","31014","41007","1701200014","1701000014","1","2","15000","1701000014","1","508000001","10","24","5","0","0","14001","0","0","0","0","0","(4820131,4820132,4820133,4820134,4820135,4820136)","(4831131,4831132,4831133)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
