"Name","PET_SKILLID","Skillkind","SkillType","NameSID","ExplainSID","UiDesValue01","AddValue01","UiDesValue02","AddValue02","UiDesValue03","AddValue03","UiDesValue04","AddValue04","UiDesValue05","AddValue05","IconID","PassiveID01","PassiveID02","PETSkillCombatPoint","GreatBuildingAttributeType01","GreatBuildingAttributeValue01","GreatBuildingAtttributeAddValue01","GreatBuildingAttributeType02","GreatBuildingAttributeValue02","GreatBuildingAtttributeAddValue02"
"1001","1001","0","0","4600011","4610011","0","0","4","0","0","0","0","0","0","0","3700026","400111","0","230","0","0","0","0","0","0"
"2001","2001","0","0","4600016","4610016","0","0","4","0","5","0","0","0","0","0","3700027","400121","0","230","0","0","0","0","0","0"
"3001","3001","0","0","4600021","4610021","0","0","8","0","0","0","0","0","0","0","3700019","400131","0","230","0","0","0","0","0","0"
"4001","4001","0","0","4600026","4610026","0","0","10","0","6","0","0","0","0","0","3700019","400141","0","720","0","0","0","0","0","0"
"4002","4002","0","0","4600027","4610027","0","0","2","0","0","0","0","0","0","0","3700014","400142","0","720","0","0","0","0","0","0"
"5001","5001","0","0","4600031","4610031","0","0","8","0","0","0","0","0","0","0","3700020","400151","0","230","0","0","0","0","0","0"
"6001","6001","0","0","4600036","4610036","0","0","4","0","0","0","0","0","0","0","3700028","400161","0","230","0","0","0","0","0","0"
"7001","7001","0","0","4600041","4610041","0","0","10","0","0","0","0","0","0","0","3700042","400171","0","720","0","0","0","0","0","0"
"7002","7002","0","1","4600042","4610042","3","0","3","0","0","0","0","0","0","0","3700007","400172","0","720","0","0","0","0","0","0"
"8001","8001","0","0","4600046","4610046","0","0","4","0","0","0","0","0","0","0","3700028","400181","0","230","0","0","0","0","0","0"
"9001","9001","0","0","4600051","4610051","0","0","6","0","0","0","0","0","0","0","3700028","400191","0","720","0","0","0","0","0","0"
"9002","9002","0","0","4600052","4610052","0","0","10","0","0","0","0","0","0","0","3700039","400192","0","720","0","0","0","0","0","0"
"10001","10001","0","0","4600056","4610056","0","0","4","0","0","0","0","0","0","0","3700026","400201","0","230","0","0","0","0","0","0"
"11001","11001","0","0","4600061","4610061","0","0","2","0","0","0","0","0","0","0","3700011","400211","400216","230","0","0","0","0","0","0"
"12001","12001","0","0","4600066","4610066","0","0","6","0","6","0","0","0","0","0","3700026","400221","0","720","0","0","0","0","0","0"
"12002","12002","0","0","4600067","4610067","0","0","10","0","0","0","0","0","0","0","3700045","400222","0","720","0","0","0","0","0","0"
"13001","13001","0","0","4600071","4610071","0","0","3","0","0","0","0","0","0","0","3700030","400231","0","720","0","0","0","0","0","0"
"13002","13002","0","0","4600072","4610072","0","0","10","0","0","0","0","0","0","0","3700039","400232","0","720","0","0","0","0","0","0"
"14001","14001","0","0","4600076","4610076","0","0","5","0","0","0","0","0","0","0","3700042","400241","0","230","0","0","0","0","0","0"
"15001","15001","0","0","4600081","4610081","0","0","10","0","10","0","0","0","0","0","3700019","400251","0","720","0","0","0","0","0","0"
"15002","15002","0","0","4600082","4610082","0","0","2","0","2","0","0","0","0","0","3700015","400252","0","720","0","0","0","0","0","0"
"16001","16001","0","0","4600086","4610086","0","0","4","0","5","0","5","0","0","0","3700027","400261","400266","230","0","0","0","0","0","0"
"17001","17001","0","0","4600091","4610091","0","0","4400","1540","70","24","70","24","0","0","3700006","400271","400276","1400","0","0","0","0","0","0"
"17002","17002","0","0","4600092","4610092","0","0","15","5.2","30","10.5","0","0","0","0","3700026","400272","0","1400","0","0","0","0","0","0"
"17003","17003","0","0","4600093","4610093","0","0","10","3.5","5","1.75","0","0","0","0","3700044","400273","0","1400","0","0","0","0","0","0"
"17004","17004","0","1","4600094","4610094","0","0","10","0","20","7","20","7","0","0","3700003","400274","400279","1400","0","0","0","0","0","0"
"18001","18001","0","0","4600096","4610096","0","0","5","0","0","0","0","0","0","0","3700039","400281","0","230","0","0","0","0","0","0"
"19001","19001","0","0","4600101","4610101","0","0","10","0","0","0","0","0","0","0","3700011","400291","400296","720","0","0","0","0","0","0"
"19002","19002","0","1","4600102","4610102","4","0","8","0","0","0","0","0","0","0","3700052","400292","0","720","0","0","0","0","0","0"
"20001","20001","0","0","4600106","4610106","0","0","10","0","6","0","0","0","0","0","3700020","400301","0","720","0","0","0","0","0","0"
"20002","20002","0","1","4600107","4610107","0","0","0","0","0","0","0","0","0","0","3700005","400302","0","720","0","0","0","0","0","0"
"21001","21001","0","0","4600111","4610111","0","0","1800","0","70","0","20","0","30","0","3700018","400311","400316","1000","0","0","0","0","0","0"
