"Name","PhasingID","StageID","StartQuestId","TriggerGroup"
"10006","10006","100002010","100003400","10006"
"10012","10012","100002012","100005400","10012"
"10013","10013","100002012","100005650","10013"
"10014","10014","100002020","100008450","10014"
"10019","10019","100002020","100008200","10019"
"10021","10021","100002010","100004200","10021"
"10022","10022","100002010","100004500","10022"
"10025","10025","100004010","100000300","10025"
"10026","10026","100004010","100000750","10026"
"10027","10027","100004020","100002330","10027"
"10028","10028","100004020","100002350","10028"
"10029","10029","100004020","100002490","10029"
"10032","10032","100004020","100002550","10032"
"10201","10201","101003010","101001700","10201"
"10202","10202","101003010","101003150","10202"
"102020","102020","101003010","101004100","102020"
"10203","10203","101003010","101004200","10203"
"102040","102040","101003010","101004850","102040"
"10205","10205","101003010","101005100","10205"
"10206","10206","101003010","101005300","10206"
"10207","10207","101003010","101005700","10207"
"10301","10301","101003020","101011000","10301"
"10302","10302","101003020","101011400","10302"
"10303","10303","101003020","101011500","10303"
"10304","10304","101003020","101012110","10304"
"103050","103050","101005040","101012350","103050"
"10306","10306","101005040","101012900","10306"
"10307","10307","101005040","101013100","10307"
"10308","10308","101003020","101013600","10308"
"10309","10309","200022010","101013675","10309"
"10401","10401","101003030","101100200","10401"
"10402","10402","101003030","101100700","10402"
"10403","10403","101003030","101101000","10403"
"10404","10404","101004010","101103600","10404"
"10425","10425","101003030","101101100","10425"
"10426","10426","10011","102002300","10426"
"10427","10427","101004030","102002800","10427"
"10428","10428","101004030","102004050","10428"
"10429","10429","101004040","102005500","10429"
"10430","10430","101004040","102006500","10430"
"10431","10431","101004040","102006700","10431"
"10432","10432","101004040","102007000","10432"
"10433","10433","101003030","102009700","10433"
"10434","10434","101003030","102009800","10434"
"10435","10435","101003030","102005100","10435"
"10436","10436","101003030","102008000","10436"
"10437","10437","201003010","102010260","10437"
"10501","10501","102003010","102100400","10501"
"10502","10502","102003010","102100700","10502"
"10503","10503","102004010","102101000","10503"
"10504","10504","102004040","102102200","10504"
"105040","105040","102004040","102102230","105040"
"10505","10505","102004070","102103400","10505"
"10506","10506","102004070","102103500","10506"
"10507","10507","102004070","102103700","10507"
"10508","10508","102004070","102103860","10508"
"105091","105091","102004070","102103850","105091"
"10510","10510","102004070","102103900","10510"
"10512","10512","102005020","102104300","10512"
"10601","10601","102003010","103000600","10601"
"10603","10603","102003010","103001100","10603"
"10605","10605","103003040","103001700","10605"
"10606","10606","103003060","103002050","10606"
"10607","10607","103003010","103003600","10607"
"10609","10609","103003010","103004400","10609"
"10611","10611","103004010","103004800","10611"
"10612","10612","103003010","103005470","10612"
"10613","10613","103003070","103005350","10613"
"10615","10615","103003070","103005780","10615"
"10617","10617","103003070","103005900","10617"
"10618","10618","103003010","103006250","10618"
"10619","10619","103003010","103006400","10619"
"10620","10620","103003010","103006500","10620"
"10621","10621","103003020","103007700","10621"
"10623","10623","103003020","103008050","10623"
"10625","10625","103003020","103008500","10625"
"10627","10627","103003030","103009050","10627"
"10629","10629","103003030","103009270","10629"
"10630","10630","103003030","103009300","10630"
"10631","10631","103003030","103009500","10631"
"10633","10633","103003050","103009800","10633"
"10802","10802","104004050","104101800","10802"
