"Name","PkMode","PkType","PkModeName","PkModeDesc","PkModeIcon","PkModeColor","HudSelectAble","AttackPvP","AttackEnemyFaction","AttackParty","AttackGuildMonster","AttackGuild","AttackAllyGuild","AttackEnemyGuild","AttackFriend","AttackExceptingGuild","AttackNotServerVister","AttackServerVisterSame","AttackServerVisterNotSame","AttackPink","AttackGradeType01","AttackGradeType02","AttackGradeType03","AttackGradeType04","AttackGradeType05"
"1","1","1","2700002","2700102","100006","963001","1","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0"
"2","2","1","2700003","2700103","100007","963002","1","0","0","0","1","0","0","1","0","0","0","1","1","1","0","0","1","1","1"
"3","3","1","2700004","2700104","100008","963003","1","0","0","0","1","0","0","1","0","0","0","1","1","1","1","1","1","1","1"
"4","4","1","2700005","2700105","100009","963004","1","0","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1"
"5","5","1","2700006","0","100009","963005","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"6","6","1","2700007","0","100009","963006","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"7","7","1","2700008","0","100009","963007","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1"
"8","8","2","2700009","2700106","100006","963001","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"9","9","2","2700010","2700107","100007","963002","1","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0"
"10","10","2","2700011","2700108","100008","963003","1","0","0","0","1","0","0","1","0","0","1","0","1","1","1","1","1","1","1"
"11","11","2","2700012","2700109","100009","963004","1","0","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1"
"12","12","1","2700007","0","100009","963006","0","0","1","0","0","0","1","1","1","1","0","1","1","0","0","0","0","0","0"
"13","13","2","2700013","2700109","100009","963004","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
