"Name","PkScoreId","CombatPowerMin","CombatPowerMax","RewardScore"
"1","1","10000","99999","1"
"2","2","100000","199999","2"
"3","3","200000","299999","3"
"4","4","300000","399999","4"
"5","5","400000","499999","5"
"6","6","500000","599999","6"
"7","7","600000","699999","7"
"8","8","700000","799999","8"
"9","9","800000","899999","9"
"10","10","900000","999999","10"
"11","11","1000000","1099999","11"
"12","12","1100000","1199999","12"
"13","13","1200000","1299999","15"
"14","14","1300000","1500000","20"
