"Name","RowId","PkStealGrouplId","PkGradeType","MoneyId","StealProbability","StealMinCount","StealMaxCount","LevelParam","DropItemType01","DropItemSubType01","DropItemProbability01","DropItemGradeMin01","DropItemGradeMax01","DropItemRatioMin01","DropItemRatioMax01","DropItemType02","DropItemSubType02","DropItemProbability02","DropItemGradeMin02","DropItemGradeMax02","DropItemRatioMin02","DropItemRatioMax02","DropItemGenObject","DropItemType","DropItemProbability","DropItemKindCountMin","DropItemKindCountMax","DropItemGradeMin","DropItemGradeMax","DropItemRatioMin","DropItemRatioMax","StealStageType","StealRatioMin","StealRatioMax"
"1","1","1001","1","2","500","100","300","100","6","4","500","1","3","100","300","6","5","500","1","3","100","300","300000001","(0)","0","0","0","0","0","0","0","3","1000","1000"
"2","2","1001","2","2","1500","300","500","150","6","4","1500","1","3","300","500","6","5","1500","1","3","300","500","300000001","(0)","0","0","0","0","0","0","0","3","1000","1500"
"3","3","1001","3","2","4000","1000","3000","200","6","4","4000","1","3","500","1000","6","5","4000","1","3","500","1000","300000001","(0)","0","0","0","0","0","0","0","3","1000","2000"
"4","4","1001","4","2","7500","5000","10000","500","6","4","7500","1","3","1000","2000","6","5","7500","1","3","1000","2000","300000001","(0)","0","0","0","0","0","0","0","3","1000","2500"
"5","5","1001","5","2","10000","10000","20000","1000","6","4","10000","1","3","2000","4000","6","5","10000","1","3","2000","4000","300000001","(0)","0","0","0","0","0","0","0","3","1000","3000"
"6","6","2001","1","12","500","100","300","100","6","4","500","1","3","100","300","6","5","500","1","3","100","300","300000001","(0)","0","0","0","0","0","0","0","7","30000","50000"
"7","7","2001","2","12","1500","300","500","150","6","4","1500","1","3","300","500","6","5","1500","1","3","300","500","300000001","(0)","0","0","0","0","0","0","0","7","30000","60000"
"8","8","2001","3","12","4000","1000","3000","200","6","4","4000","1","3","500","1000","6","5","4000","1","3","500","1000","300000001","(0)","0","0","0","0","0","0","0","7","40000","60000"
"9","9","2001","4","12","7500","5000","10000","500","6","4","7500","1","3","1000","2000","6","5","7500","1","3","1000","2000","300000001","(0)","0","0","0","0","0","0","0","7","50000","70000"
"10","10","2001","5","12","10000","10000","20000","1000","6","4","10000","1","3","2000","4000","6","5","10000","1","3","2000","4000","300000001","(0)","0","0","0","0","0","0","0","7","60000","70000"
"11","11","3001","1","11","500","100","300","100","6","4","500","1","3","100","300","6","5","500","1","3","100","300","300000001","(0)","0","0","0","0","0","0","0","4","30000","30000"
"12","12","3001","2","11","1500","300","500","150","6","4","1500","1","3","300","500","6","5","1500","1","3","300","500","300000001","(0)","0","0","0","0","0","0","0","4","30000","30000"
"13","13","3001","3","11","4000","1000","3000","200","6","4","4000","1","3","500","1000","6","5","4000","1","3","500","1000","300000001","(0)","0","0","0","0","0","0","0","4","30000","30000"
"14","14","3001","4","11","7500","5000","10000","500","6","4","7500","1","3","1000","2000","6","5","7500","1","3","1000","2000","300000001","(0)","0","0","0","0","0","0","0","4","30000","30000"
"15","15","3001","5","11","10000","10000","20000","1000","6","4","10000","1","3","2000","4000","6","5","10000","1","3","2000","4000","300000001","(0)","0","0","0","0","0","0","0","4","30000","30000"
