"Name","PlayDataId","PlayData","PlayDataType","ConditionType","ConditionTypeValue1","ConditionTypeValue2","AchievementState"
"1","102","접속 시간","1","2","0","0","0"
"2","153","하루 한번 접속 횟수","1","53","0","0","0"
"3","201","레벨 달성","2","3","0","0","1"
"4","401","사망 횟수","4","1","0","0","0"
"5","801","금화 획득","8","6","2","0","0"
"6","803","캐시원보 획득","8","6","4","0","0"
"7","805","진기 획득","8","6","11","0","0"
"8","806","흑철 획득","8","6","12","0","0"
"9","1101","금화 소비","11","6","2","0","0"
"10","1103","캐시원보 소비","11","6","4","0","0"
"11","1105","진기 소비","11","6","11","0","0"
"12","1106","흑철 소비","11","6","12","0","0"
"13","1304","소비 물약 소모 횟수","13","8","6","0","0"
"14","1305","체력 물약 소모 횟수","13","8","6","4","0"
"15","1306","마력 물약 소모 횟수","13","8","6","5","0"
"16","1402","무기 아이템 획득 횟수","14","8","2","0","0"
"17","1403","방어구 아이템 획득 횟수","14","8","3","0","0"
"18","1404","장신구 아이템 획득 횟수","14","8","4","0","0"
"19","1406","보물 아이템 획득 횟수","14","8","5","12","0"
"20","1701","모든 아이템 강화 횟수","17","7","0","0","0"
"21","1702","강화 최대 레벨 도달 횟수","17","10","0","0","0"
"22","1710","아이템 강화 성공 횟수","17","12","0","0","0"
"23","1711","아이템 강화 실패 횟수","17","13","0","0","0"
"24","10100","인앱 광고 누적 시청 횟수","101","1","0","0","0"
"25","10200","마패 사용 누적 사용 횟수","102","1","0","0","0"
"26","10301","가챠타입소환","103","1","9","0","0"
"27","10302","가챠타입소환","103","1","10","0","0"
"28","10303","가챠타입소환","103","1","11","0","0"
"29","10304","가챠타입소환","103","1","12","0","0"
"30","17821","무기 강화 지정 등급 달성 횟수","17","8","2","10","0"
"31","17831","방어구 강화 지정 등급 달성 횟수","17","8","3","10","0"
"32","2302","모든 아이템 제작 횟수","23","7","0","0","0"
"33","2401","채집 오브젝트 횟수","24","14","0","0","0"
"34","2901","파티 참여 횟수","29","1","0","0","0"
"35","3601","타 PK 전체 모드 횟수","36","15","0","0","0"
"36","4150","PK에 의한 내 캐릭터 사망 횟수","66","15","0","0","0"
"37","4207","스테이지 클리어 스테이지 타입 횟수","42","19","101","0","0"
"38","4208","스테이지 클리어 스테이지 타입 횟수","42","19","102","0","0"
"39","4209","스테이지 클리어 스테이지 타입 횟수","42","19","51","0","0"
"40","42201","지정 스테이지 클리어 횟수","73","27","200251010","0","0"
"41","42202","지정 스테이지 클리어 횟수","73","27","200251020","0","0"
"42","42203","지정 스테이지 클리어 횟수","73","27","200251030","0","0"
"43","42204","지정 스테이지 클리어 횟수","73","27","200601010","0","0"
"44","4301","몬스터 처치 전체 몬스터 횟수","43","20","0","0","0"
"45","4302","몬스터 처치 등급 몬스터 횟수","43","21","1","0","0"
"46","4303","몬스터 처치 등급 몬스터 횟수","43","21","2","0","0"
