"Name","PortalTriggerId","CurrentStageId","WarpId","ArrivalStageId","PositionNearPortalCheck","PositionNearPortal","PortalStageType","EnableLevel","EnableGreatBuildingID","EnableBuildingStep","EnableDoingQuestType","EnableDoingQuest","EnableCompleteQuestType","EnableCompleteQuest","EnableAchievement","EnableDoingBuff","ContentsAdminInfoId","Weigth"
"1003","1003","101003010","1003","101005010","0","(X=0,Y=0,Z=0)","4","0","0","0","0","0","0","0","0","0","0","0"
"1004","1004","101005010","1004","101003010","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","0","0","0","0","0","0"
"1005","1005","101001010","1005","101003030","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","1","101013750","0","0","0","0"
"1006","1006","101003030","1006","101001010","0","(X=0,Y=0,Z=0)","1","0","0","0","0","0","0","0","0","0","0","0"
"1009","1009","101001010","1009","101005020","0","(X=0,Y=0,Z=0)","5","0","0","0","0","0","1","101005750","0","0","0","0"
"1010","1010","101005020","1010","101001010","0","(X=0,Y=0,Z=0)","1","0","0","0","0","0","0","0","0","0","0","0"
"1015","1015","101001010","1015","101003020","0","(X=0,Y=0,Z=0)","5","0","0","0","0","0","1","101005750","0","0","0","0"
"1016","1016","101003020","1016","101001010","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","0","0","0","0","0","0"
"1018","1018","100002012","1018","100002020","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","1","100006200","0","0","0","0"
"1019","1019","100002020","1019","100002010","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","0","0","0","0","0","0"
"1020","1020","100002020","1020","101003010","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","0","0","0","0","0","0"
"1021","1021","101003010","1021","100002020","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","0","0","0","0","0","0"
"1022","1022","101003010","1022","101001010","0","(X=0,Y=0,Z=0)","1","0","0","0","0","0","0","0","0","0","0","0"
"1023","1023","101001010","1023","101003010","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","0","0","0","0","0","0"
"1028","1028","101003030","1028","101004010","0","(X=0,Y=0,Z=0)","4","0","0","0","0","0","1","101013750","0","0","0","0"
"1029","1029","101004010","1029","101003030","0","(X=0,Y=0,Z=0)","3","0","0","0","0","0","1","101013750","0","0","0","0"
