"Name","Potential_Id","Potential_NameSid","Potential_ExplanId","Potential_NodeuiId","Node_Category","Node_Grade","UnLockPotential01_Id","UnLockPotential01_Level","UnLockPotential02_Id","UnLockPotential02_Level","UnLockPotential03_Id","UnLockPotential03_Level","UnLockPotential04_Id","UnLockPotential04_Level"
"1","1","6400001","6401001","1","1","1","0","0","0","0","0","0","0","0"
"2","2","6400002","6401002","2","1","2","1","3","0","0","0","0","0","0"
"3","3","6400003","6401003","2","1","2","1","3","0","0","0","0","0","0"
"4","4","6400004","6401004","1","1","1","2","3","0","0","0","0","0","0"
"5","5","6400005","6401005","2","1","2","2","3","3","3","0","0","0","0"
"6","6","6400006","6401006","1","1","1","3","3","0","0","0","0","0","0"
"7","7","6400007","6401007","2","1","2","4","3","0","0","0","0","0","0"
"8","8","6400008","6401008","2","1","2","5","3","7","3","0","0","0","0"
"9","9","6400009","6401009","2","1","2","5","3","10","3","0","0","0","0"
"10","10","6400010","6401010","2","1","2","6","3","0","0","0","0","0","0"
"11","11","6400011","6401011","1","1","1","8","3","0","0","0","0","0","0"
"12","12","6400012","6401012","1","1","1","9","3","0","0","0","0","0","0"
"13","13","6400013","6401013","2","1","2","11","3","0","0","0","0","0","0"
"14","14","6400014","6401014","1","1","1","13","3","0","0","0","0","0","0"
"15","15","6400015","6401015","2","1","2","11","3","14","3","16","3","0","0"
"16","16","6400016","6401016","1","1","1","8","3","9","3","0","0","0","0"
"17","17","6400017","6401017","2","1","2","12","3","16","3","18","3","0","0"
"18","18","6400018","6401018","1","1","1","19","3","0","0","0","0","0","0"
"19","19","6400019","6401019","2","1","2","12","3","0","0","0","0","0","0"
"20","20","6400020","6401020","2","1","2","14","3","0","0","0","0","0","0"
"21","21","6400021","6401021","1","1","1","20","3","0","0","0","0","0","0"
"22","22","6400022","6401022","2","1","2","21","3","0","0","0","0","0","0"
"23","23","6400023","6401023","3","1","3","15","3","17","3","0","0","0","0"
"24","24","6400024","6401024","2","1","2","25","3","0","0","0","0","0","0"
"25","25","6400025","6401025","1","1","1","26","3","0","0","0","0","0","0"
"26","26","6400026","6401026","2","1","2","18","3","0","0","0","0","0","0"
"27","27","6400027","6401027","3","1","3","20","3","0","0","0","0","0","0"
"28","28","6400028","6401028","3","1","3","27","3","0","0","0","0","0","0"
"29","29","6400029","6401029","3","1","3","22","3","28","3","0","0","0","0"
"30","30","6400030","6401030","3","1","3","22","3","23","3","24","3","0","0"
"31","31","6400031","6401031","3","1","3","24","3","32","3","0","0","0","0"
"32","32","6400032","6401032","3","1","3","33","3","0","0","0","0","0","0"
"33","33","6400033","6401033","3","1","3","26","3","0","0","0","0","0","0"
"34","34","6400034","6401034","3","1","3","27","3","0","0","0","0","0","0"
"35","35","6400035","6401035","3","1","3","34","3","29","3","0","0","0","0"
"36","36","6400036","6401036","3","1","3","30","3","0","0","0","0","0","0"
"37","37","6400037","6401037","3","1","3","30","3","0","0","0","0","0","0"
"38","38","6400038","6401038","3","1","3","31","3","39","3","0","0","0","0"
"39","39","6400039","6401039","3","1","3","33","3","0","0","0","0","0","0"
"40","40","6400040","6401040","4","1","4","34","3","0","0","0","0","0","0"
"41","41","6400041","6401041","3","1","3","34","3","0","0","0","0","0","0"
"42","42","6400042","6401042","3","1","3","35","3","0","0","0","0","0","0"
"43","43","6400043","6401043","3","1","3","42","3","0","0","0","0","0","0"
"44","44","6400044","6401044","4","1","4","36","3","37","3","0","0","0","0"
"45","45","6400045","6401045","3","1","3","46","3","0","0","0","0","0","0"
"46","46","6400046","6401046","3","1","3","38","3","0","0","0","0","0","0"
"47","47","6400047","6401047","3","1","3","39","3","0","0","0","0","0","0"
"48","48","6400048","6401048","3","1","3","39","3","0","0","0","0","0","0"
"49","49","6400049","6401049","4","1","4","40","3","41","3","0","0","0","0"
"50","50","6400050","6401050","4","1","4","42","3","0","0","0","0","0","0"
"51","51","6400051","6401051","3","1","3","43","3","0","0","0","0","0","0"
"52","52","6400052","6401052","4","1","4","43","3","44","3","45","3","0","0"
"53","53","6400053","6401053","3","1","3","45","3","0","0","0","0","0","0"
"54","54","6400054","6401054","4","1","4","46","3","0","0","0","0","0","0"
"55","55","6400055","6401055","4","1","4","47","3","48","3","0","0","0","0"
"56","56","6400056","6401056","4","1","4","60","3","0","0","0","0","0","0"
"57","57","6400057","6401057","3","1","3","51","3","52","3","0","0","0","0"
"58","58","6400058","6401058","4","1","4","52","3","53","3","0","0","0","0"
"59","59","6400059","6401059","4","1","4","61","3","0","0","0","0","0","0"
"60","60","6400060","6401060","4","1","4","57","3","0","0","0","0","0","0"
"61","61","6400061","6401061","4","1","4","58","3","60","3","0","0","0","0"
"62","62","6400062","6401062","301","1","5","49","3","50","3","56","3","0","0"
"63","63","6400063","6401063","302","1","5","54","3","55","3","59","3","0","0"
"101","101","6400101","6401101","101","2","1","0","0","0","0","0","0","0","0"
"102","102","6400102","6401102","102","2","2","101","3","0","0","0","0","0","0"
"103","103","6400103","6401103","102","2","2","101","3","0","0","0","0","0","0"
"104","104","6400104","6401104","102","2","2","102","3","0","0","0","0","0","0"
"105","105","6400105","6401105","102","2","2","102","3","104","3","0","0","0","0"
"106","106","6400106","6401106","102","2","2","103","3","107","3","0","0","0","0"
"107","107","6400107","6401107","102","2","2","103","3","0","0","0","0","0","0"
"108","108","6400108","6401108","101","2","1","109","3","0","0","0","0","0","0"
"109","109","6400109","6401109","102","2","2","104","3","0","0","0","0","0","0"
"110","110","6400110","6401110","101","2","1","105","3","0","0","0","0","0","0"
"111","111","6400111","6401111","102","2","2","110","3","112","3","0","0","0","0"
"112","112","6400112","6401112","101","2","1","105","3","0","0","0","0","0","0"
"113","113","6400113","6401113","101","2","1","111","3","115","3","0","0","0","0"
"114","114","6400114","6401114","101","2","1","106","3","0","0","0","0","0","0"
"115","115","6400115","6401115","102","2","2","114","3","116","3","0","0","0","0"
"116","116","6400116","6401116","101","2","1","106","3","0","0","0","0","0","0"
"117","117","6400117","6401117","102","2","2","107","3","0","0","0","0","0","0"
"118","118","6400118","6401118","101","2","1","117","3","0","0","0","0","0","0"
"119","119","6400119","6401119","102","2","2","108","3","109","3","0","0","0","0"
"120","120","6400120","6401120","102","2","2","119","3","113","3","0","0","0","0"
"121","121","6400121","6401121","102","2","2","113","3","122","3","0","0","0","0"
"122","122","6400122","6401122","102","2","2","117","3","118","3","0","0","0","0"
"123","123","6400123","6401123","103","2","3","119","3","0","0","0","0","0","0"
"124","124","6400124","6401124","101","2","1","123","3","125","3","0","0","0","0"
"125","125","6400125","6401125","103","2","3","119","3","0","0","0","0","0","0"
"126","126","6400126","6401126","103","2","3","125","3","0","0","0","0","0","0"
"127","127","6400127","6401127","102","2","2","120","3","121","3","0","0","0","0"
"128","128","6400128","6401128","103","2","3","129","3","0","0","0","0","0","0"
"129","129","6400129","6401129","103","2","3","122","3","0","0","0","0","0","0"
"130","130","6400130","6401130","101","2","1","129","3","131","3","0","0","0","0"
"131","131","6400131","6401131","103","2","3","122","3","0","0","0","0","0","0"
"132","132","6400132","6401132","103","2","3","123","3","0","0","0","0","0","0"
"133","133","6400133","6401133","103","2","3","126","3","127","3","0","0","0","0"
"134","134","6400134","6401134","103","2","3","133","3","135","3","0","0","0","0"
"135","135","6400135","6401135","103","2","3","127","3","128","3","0","0","0","0"
"136","136","6400136","6401136","103","2","3","131","3","0","0","0","0","0","0"
"137","137","6400137","6401137","103","2","3","132","3","0","0","0","0","0","0"
"138","138","6400138","6401138","104","2","4","126","3","132","3","0","0","0","0"
"139","139","6400139","6401139","103","2","3","138","3","0","0","0","0","0","0"
"140","140","6400140","6401140","104","2","4","134","3","141","3","0","0","0","0"
"141","141","6400141","6401141","103","2","3","134","3","0","0","0","0","0","0"
"142","142","6400142","6401142","104","2","4","134","3","141","3","0","0","0","0"
"143","143","6400143","6401143","103","2","3","144","3","0","0","0","0","0","0"
"144","144","6400144","6401144","104","2","4","128","3","136","3","0","0","0","0"
"145","145","6400145","6401145","103","2","3","136","3","0","0","0","0","0","0"
"146","146","6400146","6401146","103","2","3","137","3","0","0","0","0","0","0"
"147","147","6400147","6401147","103","2","3","146","3","138","3","0","0","0","0"
"148","148","6400148","6401148","103","2","3","147","3","0","0","0","0","0","0"
"149","149","6400149","6401149","104","2","4","139","3","0","0","0","0","0","0"
"150","150","6400150","6401150","104","2","4","143","3","0","0","0","0","0","0"
"151","151","6400151","6401151","103","2","3","144","3","152","3","0","0","0","0"
"152","152","6400152","6401152","103","2","3","145","3","0","0","0","0","0","0"
