"Name","RowID","Node_Category","Node_Grade","UmgName","StateLock_IconId","StateOpen_IconId","StateGrow_IconId","StateDone_IconId"
"1","1","1","1","Potential_Node","5700001","5700011","5700021","5700031"
"2","2","1","2","Potential_Node","5700002","5700012","5700022","5700032"
"3","3","1","3","Potential_Node","5700003","5700013","5700023","5700033"
"4","4","1","4","Potential_Node","5700004","5700014","5700024","5700034"
"101","101","2","1","Potential_Node","5700001","5700041","5700051","5700061"
"102","102","2","2","Potential_Node","5700002","5700042","5700052","5700062"
"103","103","2","3","Potential_Node","5700003","5700043","5700053","5700063"
"104","104","2","4","Potential_Node","5700004","5700044","5700054","5700064"
"201","201","3","1","Potential_Node","5700001","5700071","5700081","5700091"
"202","202","3","2","Potential_Node","5700002","5700072","5700082","5700092"
"203","203","3","3","Potential_Node","5700003","5700073","5700083","5700093"
"204","204","3","4","Potential_Node","5700004","5700074","5700084","5700094"
"301","301","1","5","Potential_Node","5701001","5701011","5701021","5701031"
"302","302","1","5","Potential_Node","5701002","5701012","5701022","5701032"
"303","303","2","5","Potential_Node","5701003","5701013","5701023","5701033"
"304","304","2","5","Potential_Node","5701004","5701014","5701024","5701034"
"305","305","3","5","Potential_Node","5701005","5701015","5701025","5701035"
"306","306","3","5","Potential_Node","5701006","5701016","5701026","5701036"
