"Name","RowId","Potential_Id","Training_Class","Training_Level","Training_SuccessRate","Training_ExplanId","CostMoney_Id","CostMoney_Count","CostItem01_UseId","CostItem01_Count","CostItem02_UseId","CostItem02_Count","CostItem03_UseId","CostItem03_Count","CostItem04_UseId","CostItem04_Count","Passive_Id","Passive_CombatPoint","Passive_CombatPointLevel","Status01_Id","Status01_Value","Status02_Id","Status02_Value","Status03_Id","Status03_Value"
"1","1","1","1","1","80000","6401001","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","40","10","0","0","0","0"
"2","2","1","1","2","70000","6401001","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","40","20","0","0","0","0"
"3","3","1","1","3","60000","6401001","23","2","1201001301","1","0","0","0","0","0","0","0","0","0","40","30","0","0","0","0"
"4","4","2","1","1","70000","6401002","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","35","30","93","100","0","0"
"5","5","2","1","2","60000","6401002","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","35","60","93","200","0","0"
"6","6","2","1","3","50000","6401002","23","4","1201001307","1","1201001308","1","0","0","0","0","0","0","0","35","90","93","300","0","0"
"7","7","2","1","4","50000","6401002","23","4","1201001407","1","0","0","0","0","0","0","0","0","0","35","120","93","400","0","0"
"8","8","3","1","1","70000","6401003","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","32","30","87","100","0","0"
"9","9","3","1","2","60000","6401003","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","32","60","87","200","0","0"
"10","10","3","1","3","50000","6401003","23","4","1201001309","1","1201001307","1","0","0","0","0","0","0","0","32","90","87","300","0","0"
"11","11","3","1","4","50000","6401003","23","4","1201001409","1","0","0","0","0","0","0","0","0","0","32","120","87","400","0","0"
"12","12","4","1","1","80000","6401004","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","42","10","0","0","0","0"
"13","13","4","1","2","70000","6401004","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","42","20","0","0","0","0"
"14","14","4","1","3","60000","6401004","23","2","1201001308","1","0","0","0","0","0","0","0","0","0","42","30","0","0","0","0"
"15","15","5","1","1","70000","6401005","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","20","7","22","7","86","120"
"16","16","5","1","2","60000","6401005","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","20","14","22","14","86","240"
"17","17","5","1","3","50000","6401005","23","4","1201001309","1","1201001303","1","0","0","0","0","0","0","0","20","21","22","21","86","360"
"18","18","5","1","4","50000","6401005","23","4","1201001409","1","0","0","0","0","0","0","0","0","0","20","28","22","28","86","480"
"19","19","6","1","1","80000","6401006","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","43","10","0","0","0","0"
"20","20","6","1","2","70000","6401006","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","43","20","0","0","0","0"
"21","21","6","1","3","60000","6401006","23","2","1201001306","1","0","0","0","0","0","0","0","0","0","43","30","0","0","0","0"
"22","22","7","1","1","70000","6401007","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","24","7","91","100","0","0"
"23","23","7","1","2","60000","6401007","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","24","14","91","200","0","0"
"24","24","7","1","3","50000","6401007","23","4","1201001310","1","1201001302","1","0","0","0","0","0","0","0","24","21","91","300","0","0"
"25","25","7","1","4","50000","6401007","23","4","1201001410","1","0","0","0","0","0","0","0","0","0","24","28","91","400","0","0"
"26","26","8","1","1","70000","6401008","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","45","4","92","100","0","0"
"27","27","8","1","2","60000","6401008","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","45","8","92","200","0","0"
"28","28","8","1","3","50000","6401008","23","4","1201001311","1","1201001307","1","0","0","0","0","0","0","0","45","12","92","300","0","0"
"29","29","8","1","4","50000","6401008","23","4","1201001411","1","0","0","0","0","0","0","0","0","0","45","16","92","400","0","0"
"30","30","9","1","1","70000","6401009","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","36","11","86","120","0","0"
"31","31","9","1","2","60000","6401009","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","36","22","86","240","0","0"
"32","32","9","1","3","50000","6401009","23","4","1201001304","1","1201001303","1","0","0","0","0","0","0","0","36","33","86","360","0","0"
"33","33","9","1","4","50000","6401009","23","4","1201001404","1","0","0","0","0","0","0","0","0","0","36","44","86","480","0","0"
"34","34","10","1","1","70000","6401010","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","34","30","84","150","0","0"
"35","35","10","1","2","60000","6401010","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","34","60","84","300","0","0"
"36","36","10","1","3","50000","6401010","23","4","1201001306","1","1201001302","1","0","0","0","0","0","0","0","34","90","84","450","0","0"
"37","37","10","1","4","50000","6401010","23","4","1201001406","1","0","0","0","0","0","0","0","0","0","34","120","84","600","0","0"
"38","38","11","1","1","80000","6401011","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","35","26","0","0","0","0"
"39","39","11","1","2","70000","6401011","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","35","52","0","0","0","0"
"40","40","11","1","3","60000","6401011","23","2","1201001307","1","0","0","0","0","0","0","0","0","0","35","78","0","0","0","0"
"41","41","12","1","1","80000","6401012","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","41","10","0","0","0","0"
"42","42","12","1","2","70000","6401012","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","41","20","0","0","0","0"
"43","43","12","1","3","60000","6401012","23","2","1201001305","1","0","0","0","0","0","0","0","0","0","41","30","0","0","0","0"
"44","44","13","1","1","70000","6401013","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","40","11","6","10","0","0"
"45","45","13","1","2","60000","6401013","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","40","22","6","20","0","0"
"46","46","13","1","3","50000","6401013","23","4","1201001301","1","1201001308","1","0","0","0","0","0","0","0","40","33","6","30","0","0"
"47","47","13","1","4","50000","6401013","23","4","1201001401","1","0","0","0","0","0","0","0","0","0","40","44","6","40","0","0"
"48","48","14","1","1","80000","6401014","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","34","26","0","0","0","0"
"49","49","14","1","2","70000","6401014","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","34","52","0","0","0","0"
"50","50","14","1","3","60000","6401014","23","2","1201001306","1","0","0","0","0","0","0","0","0","0","34","78","0","0","0","0"
"51","51","15","1","1","70000","6401015","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","32","30","87","100","0","0"
"52","52","15","1","2","60000","6401015","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","32","60","87","200","0","0"
"53","53","15","1","3","50000","6401015","23","4","1201001309","1","1201001307","1","0","0","0","0","0","0","0","32","90","87","300","0","0"
