"Name","QuestId","QuestLevel","StepNo","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","103000100","36","18","0","FADE 1 1 0/SEQUENCE 1022901/CUTSCENEDELAY/FADE 1 0 1/NPCSHOW 1002 (-19136,-2468,1330,0)/NPCRUN 1002 (-17040,-610,820,95) 2/SMALLTALK 103000150","","100","0","1","1000","(0,0,0,0,0)","0","0","103003010","","(X=-19191.000000,Y=-2312.000000,Z=1323.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1022004","2031001","9080","752","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"2","103000150","36","19","NPCSHOW 1015 (-17000,-200,830,-103)/NPCSHOW 4012 (-16650,-660,840,-98)","0","","100","0","1","300","(0,0,0,0,0)","0","0.1","103003010","","(X=-17120.000000,Y=-530.000000,Z=740.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1022004","2031002","9080","752","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"3","103000200","36","20","NPCSHOW 1002 (-17040,-610,820,95)","CINEMATIC 103000200/CAMERASET 24 -16 600 0.1/CUTSCENEDELAY/HUDHIDE/NPCRUN 1015 (-13060,2790,240,-10) 2 7/NPCBB 1015 0 3 1030002/DELAY 3/HUDSHOW","","11","1015","1","0","(0,0,0,0,0)","0","0","103003010","","(X=-16780.000000,Y=-620.000000,Z=820.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1022004","2022011","9080","752","12","2000","(621200001,621200001,621200001,621200001,621200001,621200001)","4","(0,0,0,0,0,0)","0","0"
"4","103000300","36","21","0","SEQUENCE 1023001/CUTSCENEDELAY","","9100","106001001","1","0","(0,0,0,0,0)","0","0","103003010","","(X=-16716.000000,Y=-284.000000,Z=728.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1022004","2031004","9080","752","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"5","103000400","36","22","NPCSHOW 1002 (-17040,-610,820,95)","CINEMATIC 103000400/CUTSCENEDELAY/HUDHIDE/FADE 0 1 5/NPCRUN 1002 (-13280,2400,320,44) 2/DELAY 2","","11","1002","1","0","(0,0,0,0,0)","0","0","103003010","","(X=-17220.000000,Y=-520.000000,Z=820.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1022004","2001005","9080","752","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"6","103000450","36","0","0","0","","200","0","1","69","(0,0,0,0,0)","0","0","102003010","","(X=-18650.000000,Y=-31940.000000,Z=5220.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"7","103000500","37","1","FADE 1 0 2/DELAY 2","SMALLTALK 103000500/NPCSHOW 1002 (-18360,-31510,5220,50)/NPCRUN 1002 (-16920,-25230,4860,110) 2","","100","0","1","1000","(0,0,0,0,0)","0","1","102003010","","(X=-18650.000000,Y=-31940.000000,Z=5220.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1031001","2031007","9410","754","0","0","(517200101,517200101,517200101,517200101,517200101,517200101)","1","(517200201,517200201,517200201,517200201,517200201,517200201)","1","0"
"8","103000600","37","2","MONSTERHIDE 106000009 1/MONSTERHIDE 106000009 2/MONSTERHIDE 106001010 1/MONSTERHIDE 106001010 2/MONSTERHIDE 106001011 1/MONSTERHIDE 106001011 2/MONSTERHIDE 106001011 3/MONSTERHIDE 106001011 4/MONSTERHIDE 106001011 5/MONSTERHIDE 106001011 6/MONSTERHIDE 106001011 7/MONSTERHIDE 106001002 1/MONSTERHIDE 106001002 2/MONSTERSHOW 106000009 0 1 (-17010,-21950,4830,76)/MONSTERSHOW 106000009 0 2 (-17410,-22710,4830,-129)/MONSTERSHOW 106001010 0 1 (-17070,-23060,4830,-68)/MONSTERSHOW 106001010 0 2 (-17370,-22320,4830,149)/MONSTERSHOW 106001011 0 1 (-16970,-21710,4830,-100)/MONSTERSHOW 106001011 0 2 (-16790,-22100,4830,139)/MONSTERSHOW 106001011 0 3 (-16770,-22950,4830,-150)/MONSTERSHOW 106001011 0 4 (-17490,-22920,4850,58)/MONSTERSHOW 106001011 0 5 (-17660,-22780,4830,28)/MONSTERSHOW 106001011 0 6 (-16760,-22730,4830,-150)/MONSTERSHOW 106001011 0 7 (-17010,-20830,4830,-89)/MONSTERSHOW 106001002 0 1 (-16970,-23310,4830,116)/MONSTERSHOW 106001002 0 2 (-17530,-22180,4830,-48)","0","","100","0","1","700","(0,0,0,0,0)","0","0.1","102003010","","(X=-17180.000000,Y=-24880.000000,Z=4740.000000)","(X=-17030.000000,Y=-30120.000000,Z=5220.000000)","0","0","1020008","0","0","0","0","0","0","1031001","2013051","12540","1434","12","2000","(508200001,508200001,508200001,508200001,508200001,508200001)","2","(0,0,0,0,0,0)","0","0"
"9","0","37","3","0","MONSTERHIDE 106000009 1/MONSTERHIDE 106000009 2/MONSTERHIDE 106001010 1/MONSTERHIDE 106001010 2","","84","10601","1","0","(0,0,0,0,0)","0","0.1","102003010","","(X=-17200.000000,Y=-24810.000000,Z=4740.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1031001","2031009","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"10","103000700","37","4","NPCSHOW 3074 (-17040,-20910,4830,-103)/NPCSHOW 30741 (-16831,-21362,4825,-164)/NPCSHOW 1002 (-17402,-21239,4837,34)","CINEMATIC 103000700/CUTSCENEDELAY/NPCRUN 1002 (-3682,-20821,6059,-54) 3","","11","3074","1","0","(0,0,0,0,0)","0","0","102003010","","(X=-17040.000000,Y=-20910.000000,Z=4830.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1031001","2021066","9410","754","0","0","(517200301,517200301,517200301,517200301,517200301,517200301)","1","(517200401,517200401,517200401,517200401,517200401,517200401)","1","0"
"11","103000900","37","5","NPCSHOW 1003 (-3470,-21140,6060,90)","CINEMATIC 103000900/CUTSCENEDELAY/PCWARP (-3280,-21030,6060,114)/HUDHIDE/CAMERASET 114 -12 600 1/CAMERAFOCUS (-2931,-21222,6230) (-7,125,0) 0.1 3/NPCSHOW 1002 (-3365,-20793,6045,-107)/NPCRUN 1002 (-10821,-17755,4685,-161) 3 7/NPCRUN 1003 (-10538,-17869,4758,-177) 3 7/DELAY 3/HUDSHOW/SMALLTALK 103000950/NPCHIDE 3074/NPCHIDE 30741","","12","1003","1","0","(0,0,0,0,0)","0","0","102003010","","(X=-3470.000000,Y=-20860.000000,Z=5960.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1031001","2031011","9410","754","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"12","103001000","37","6","NPCSHOW 1017 (-13210,-6932,4553,131)/NPCSHOW 1019 (-13370,-6680,4553,-66)","HUDHIDE/CAMERASET 40 -13 474 1/CAMERAFOCUS (-14598,-8152,4740) (-4,47,0) 0.1 2 (-13539,-7040,4661) (-11,41,0) 2 1/DELAY 3.1/PCWARP (-15064,-8292,4666,40)/CINEMATIC 103001000/CUTSCENEDELAY/NPCRUN 1017 (-9366,-4846,4550,101) 3 3/NPCRUN 1019 (-9510,-4773,4650,94) 3 3","","100","0","1","300","(0,0,0,0,0)","0","0","102003010","","(X=-14921.182617,Y=-8688.918945,Z=4570.818359)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1031001","2031012","9410","754","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"13","103001100","37","7","0","0","","100","0","1","600","(0,0,0,0,0)","0","0","102003010","","(X=-9950.000000,Y=-3540.000000,Z=4870.000000)","(X=-9184.189453,Y=-5694.854492,Z=4300.791504)","0","0","1020008","0","0","0","0","0","0","1031001","2031013","10970","1094","0","0","(902200203,902200203,902200203,902200203,902200203,902200203)","20","(0,0,0,0,0,0)","0","0"
"14","0","37","8","0","HUDSHOW/SMALLTALK 103001400","","84","10603","1","0","(0,0,0,0,0)","0","0.1","102003010","","(X=-9950.000000,Y=-3540.000000,Z=4870.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1031001","2031014","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"15","103001300","37","9","0","0","","100","0","1","200","(0,0,0,0,0)","0","0","102003010","","(X=-10600.000000,Y=-1240.000000,Z=5340.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1031001","2031013","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"16","103001400","37","10","0","SMALLTALK 103001450","","9100","106001002","1","0","(0,0,0,0,0)","0","0","102003010","","(X=-10603.000000,Y=-1159.000000,Z=5345.205566)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","1031001","2031015","9410","754","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"17","103001500","37","11","0","0","","100","0","1","200","(0,0,0,0,0)","0","0","102003010","","(X=-10580.000000,Y=3090.000000,Z=4930.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","1031001","2031016","9410","754","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
