"Name","QuestId","QuestLevel","QuestTitle","StepNo","QuestMission","StartScript","EndScript","CountSmallTalk","MissionType","MissionTarget","Parameter1","Parameter2","ParameterClass","CountIndication","QuestTrackerType","MissionStageId","ViaCoordinate","MissionCoordinate","PhaseExitCoordinate","SoundId","SoundRange","EffectId","IconId","ContentOpenPage","StringMESSAGE","AutoBattleType","PcTargetSearchDist","CoordinateRange","QuestTitleSID","QuestMissionSID","RewardExp","RewardGOLD","RewardCostId","RewardCostCount","RewardItem01Id","RewardItem01Count","RewardItem02Id","RewardItem02Count","TutorialGroupId"
"1","201100010","170","악의 기운","1","몽촌사막으로 이동","DELAY 1/SMALLTALK 111001000","0","","100","0","1","500","(0,0,0,0,0,0)","0","0","107001010","","(X=-30794.000000,Y=35178.000000,Z=-703.648193)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500101","210500101","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"2","201100020","170","악의 기운","2","동쪽으로 이동","0","HUDHIDE/CAMERASET 19 -1 700 1/CAMERAFOCUS (23505,-2494,1996) (5,9,0) 1 2 (21894,-2909,-737) (5,32,0) 3 0 /DELAY 5/FADE 0 1 1/DELAY 1/FADE 1 0 0/HUDSHOW","","100","0","1","200","(0,0,0,0,0,0)","0","0","107001010","","(X=20366,Y=-3174,Z=-1003)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500101","210500102","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"3","201100030","170","악의 기운","3","조사단장과의 대화","0","CINEMATIC 111000200/CUTSCENEDELAY","","11","2000001","1","0","(0,0,0,0,0,0)","0","0","107001010","","(X=22045.933594,Y=-2644.398193,Z=-878.162720)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500101","210500103","244480","23157","0","0","(901200305,901200305,901200305,901200305,901200305,901200305)","3","(604200305,604200305,604200305,604200305,604200305,604200305)","2","0"
"4","201100040","170","사막의 신기선","1","신기선으로 향하기","0","SMALLTALK 111002050","","100","0","1","200","(0,0,0,0,0,0)","0","0","107001010","","(X=30610.000000,Y=2350.000000,Z=300.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500102","210500104","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"5","201100050","170","사막의 신기선","2","균열추적자 처치","0","SMALLTALK 111003000","","8052","400001004","1","0","(0,0,0,0,0,0)","1","0","107001010","","(X=32230.761719,Y=1861.083984,Z=396.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","8000","8000","110500102","210500105","366730","67156","0","0","(517200410,517200410,517200410,517200410,517200410,517200410)","1","(604200305,604200305,604200305,604200305,604200305,604200305)","2","0"
"6","201100060","170","사막의 신기선","3","신기선으로 이동","0","0","","100","0","1","5000","(0,0,0,0,0,0)","0","0","110500010","","(X=-805.277466,Y=1640.585693,Z=6962.589355)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500102","210500106","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"7","201100070","170","사막의 신기선","4","조사단원과의 대화","0","CINEMATIC 111000400/CUTSCENEDELAY","","11","2000002","1","0","(0,0,0,0,0,0)","0","0","110500010","","(X=-87.235687,Y=1602.045654,Z=7080.000000)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500102","210500107","244480","23157","0","0","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(1301201706,1301201706,1301201706,1301201706,1301201706,1301201706)","10","0"
"8","201100080","170","사첩구계의 전설","1","일등항해사 불비와 대화","0","CINEMATIC 111000500/CUTSCENEDELAY/SMALLTALK 111005000","","11","2000003","1","0","(0,0,0,0,0,0)","0","0","110500010","","(X=1399.672119,Y=1067.252930,Z=6971.947754)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500103","210500108","244480","23157","0","0","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(0,0,0,0,0,0)","0","0"
"9","201100090","170","사첩구계의 전설","2","신기선 내부선실로 이동","0","HUDHIDE/CAMERASET -127 -3 700 1/CAMERAFOCUS (-411,-7169,9138) (17,-71,0) 1 4 (-561,-6593,10499) (-16,-75,0) 0 0/DELAY 3.5/FADE 0 1 1/DELAY 1.5/FADE 1 0 0/CAMERAFOCUS (-734,-2544,12656) (-15,74,0) 1 4 (-2635,-97,12483) (-14,14,0) 0 0/DELAY 3.5/FADE 0 1 1/DELAY 1.5/FADE 1 0 0/CAMERAFOCUS (273,24455,11874) (50,90,0) 1 4 (134,22720,12400) (17,89,0) 0 0/DELAY 3.5/FADE 0 1 1/DELAY 2/FADE 1 0 0/SMALLTALK 111005500/DELAY 3/HUDSHOW","","100","0","1","200","(0,0,0,0,0,0)","0","0","110500020","","(X=120.113861,Y=-8384.914063,Z=9135.251953)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500103","210500109","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"10","201100100","170","토비족 해방","1","차원 구치소로 이동","NPCSHOW 2000004 (-3531,-16444,8658,10)/NPCSHOW 2000005 (3955,-20303,8532,-170)/NPCSHOW 2000006 (9142,-22873,8639,58)/NPCSHOW 2000011 (9137,-22543,8639,-133)/NPCSHOW 2000020 (-3285,-16449,8548,0)/NPCSHOW 2000021 (3797,-20330,8532,178)","HUDHIDE/CAMERAFOCUS (245,-15132,8306) (-5,-92,0) 0 5 (200,-15802,8673) (-18,-94,0) 1 0/DELAY 1/SMALLTALK 111006000/DELAY 4/CAMERAFOCUS (-2932,-16324,8721) (-3,-168,0) 1 3 (-3276,-16382,8756) (-5,-168,0) 0 0/DELAY 4/CAMERASET -166 -1 700 1/HUDSHOW","","100","0","1","200","(0,0,0,0,0,0)","0","0","110500020","","(X=230.000000,Y=-15880.000000,Z=8070.000000)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500104","210500110","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"11","201100110","170","토비족 해방","2","감옥 열쇠 찾기","NPCSHOW 2000004 (-3531,-16444,8658,10)/NPCSHOW 2000005 (3955,-20303,8532,-170)/NPCSHOW 2000006 (9142,-22873,8639,58)/NPCSHOW 2000011 (9137,-22543,8639,-133)/NPCSHOW 2000020 (-3285,-16449,8548,0)/NPCSHOW 2000021 (3797,-20330,8532,178)","SMALLTALK 111007000","","8250","1","35","70000","(0,0,0,0,0,0)","0","0","110500020","","(X=216.923523,Y=-20353.343750,Z=8085.031250)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","1900","4000","110500104","210500111","366730","67156","12","4500","(701200204,701200204,701200204,701200204,701200204,701200204)","5","(901200305,901200305,901200305,901200305,901200305,901200305)","3","0"
"12","201100120","170","토비족 해방","3","토비족 구출하기","NPCSHOW 2000004 (-3531,-16444,8658,10)/NPCSHOW 2000005 (3955,-20303,8532,-170)/NPCSHOW 2000006 (9142,-22873,8639,58)/NPCSHOW 2000011 (9137,-22543,8639,-133)/NPCSHOW 2000020 (-3285,-16449,8548,0)/NPCSHOW 2000021 (3797,-20330,8532,178)","NPCHIDE 2000020/DELAY 1/NPCRUN 2000004 (134,-8121,9047,90) 2 8","","9100","110500100","1","100000","(0,0,0,0,0,0)","0","0","110500020","","(X=-2816.268311,Y=-16439.705078,Z=8549.198242)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500104","210500112","244480","23157","0","0","(901200105,901200105,901200105,901200105,901200105,901200105)","3","(604200305,604200305,604200305,604200305,604200305,604200305)","2","0"
"13","201100130","170","토비족 해방","4","다른 감옥으로 이동","NPCSHOW 2000005 (3955,-20303,8532,-170)/NPCSHOW 2000006 (9142,-22873,8639,58)/NPCSHOW 2000011 (9137,-22543,8639,-133)/NPCSHOW 2000021 (3797,-20330,8532,178)","DELAY 1/SMALLTALK 111008000","","100","0","1","200","(0,0,0,0,0,0)","0","0","110500020","","(X=3506.205322,Y=-20175.285156,Z=8549.198242)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500104","210500113","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"14","201100140","170","토비족 해방","5","감옥 열쇠 찾기","NPCSHOW 2000005 (3955,-20303,8532,-170)/NPCSHOW 2000006 (9142,-22873,8639,58)/NPCSHOW 2000011 (9137,-22543,8639,-133)/NPCSHOW 2000021 (3797,-20330,8532,178)","0","","8250","1","35","70000","(0,0,0,0,0,0)","0","0","110500020","","(X=216.923523,Y=-20353.343750,Z=8085.031250)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","1900","4000","110500104","210500111","366730","67156","0","0","(517200410,517200410,517200410,517200410,517200410,517200410)","1","(604200305,604200305,604200305,604200305,604200305,604200305)","2","0"
"15","201100150","170","토비족 해방","6","토비족 구출하기","NPCSHOW 2000005 (3955,-20303,8532,-170)/NPCSHOW 2000006 (9142,-22873,8639,58)/NPCSHOW 2000011 (9137,-22543,8639,-133)/NPCSHOW 2000021 (3797,-20330,8532,178)","NPCHIDE 2000021/DELAY 1/SMALLTALK 111009000/DELAY 3/NPCRUN 2000005 (134,-8121,9047,90) 2 8","","9100","110500101","1","100000","(0,0,0,0,0,0)","0","0","110500020","","(X=3227.559082,Y=-20371.771484,Z=8549.198242)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500104","210500112","244480","23157","0","0","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(1301201706,1301201706,1301201706,1301201706,1301201706,1301201706)","10","0"
"16","201100160","170","토비족 해방","7","또다른 토비족 구출하기","NPCSHOW 2000006 (9142,-22873,8639,58)/NPCSHOW 2000011 (9137,-22543,8639,-133)","HUDHIDE/CAMERAFOCUS (8686,-22714,8697) (0,3,0) 3 1/SMALLTALK 111009050/DELAY 4/HUDSHOW","","100","0","1","200","(0,0,0,0,0,0)","0","0","110500020","","(X=7390.879883,Y=-22866.478516,Z=8539.725586)","(X=0,Y=0,Z=0)","0","0","1020008","0","0","0","0","0","0","110500104","210500114","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
"17","201100170","170","토비족 해방","8","천사귀수 구루사 처치","NPCSHOW 2000006 (9142,-22873,8639,58)/NPCSHOW 2000011 (9137,-22543,8639,-133)","NPCRUN 2000006 (134,-8121,9047,90) 2 20/NPCRUN 2000011 (134,-8121,9047,90) 2 20/SMALLTALK 111010500","","8052","400003107","1","100000","(0,0,0,0,0,0)","0","0","110500020","","(X=8994.430664,Y=-22669.968750,Z=8539.725586)","(X=0,Y=0,Z=0)","0","0","0","0","0","310500117","0","0","0","110500104","210500115","427850","79294","0","0","(517200412,517200412,517200412,517200412,517200412,517200412)","1","(701200104,701200104,701200104,701200104,701200104,701200104)","5","0"
"18","201100180","170","토비족 해방","9","일등항해사 불비와 대화","0","CINEMATIC 111000700/CUTSCENEDELAY","","11","2000003","1","0","(0,0,0,0,0,0)","0","0","110500010","","(X=1399.672119,Y=1067.252930,Z=6971.947754)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500104","210500108","244480","23157","0","0","(604200305,604200305,604200305,604200305,604200305,604200305)","2","(0,0,0,0,0,0)","0","0"
"19","201100185","170","토비족 해방","10","타락한 토비족 처치","0","HUDHIDE/CAMERAFOCUS (9113,2071,11653) (6,-88,0) 0.5 3 (9152,390,11980) (11,-88,0) 0 1/DELAY 1/SMALLTALK 111011000/DELAY 3.5/HUDSHOW","","100","0","1","200","(0,0,0,0,0,0)","0","0","110500020","","(X=8810.000000,Y=940.000000,Z=11258.811523)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","110500104","210500116","0","0","0","0","(0,0,0,0,0,0)","0","(0,0,0,0,0,0)","0","0"
