"Name","WarpId","Arrival_StageId","Coordinate","RotationYaw","CameraYaw","CameraPitch","CameraDistance","WarpArrivalRadius"
"200","200","500000","(X=360.000000,Y=999720.000000,Z=81.999985)","0","0","0","0","0"
"300","300","400003","(X=0.000000,Y=0.000000,Z=20.000000)","0","0","0","0","0"
"307","307","3010","(X=70.000000,Y=-30370.000000,Z=2088.000000)","90","89","-16","719","0"
"308","308","3010","(X=100.000000,Y=13800.000000,Z=3500.000000)","-90","-90","-16","719","0"
"401","401","101","(X=-11605.627930,Y=-11592.152344,Z=350.000000)","84","84","-2","700","0"
"402","402","101","(X=-1254.437500,Y=24453.712891,Z=467.328552)","-94","-94","2","700","0"
"403","403","101","(X=-6380.331055,Y=12117.699219,Z=467.302216)","-5","1","0","700","0"
"404","404","101","(X=10665.077148,Y=-9934.181641,Z=467.319794)","90","0","2","700","0"
"701","701","301001010","(X=-147,Y=-990,Z=2904)","-90","-90","-30","1000","500"
"702","702","301001010","(X=-15.000000,Y=9095.000000,Z=2777.000000)","250","250","-23","800","0"
"703","703","301001020","(X=18756.957031,Y=-20204.949219,Z=6435.428711)","135","135","-20","800","0"
"704","704","301001010","(X=-6372,Y=5196,Z=2493)","-90","-90","-30","1000","400"
"705","705","301001010","(X=-11454,Y=-11031,Z=3005)","-90","-90","-30","1000","0"
"706","706","301001010","(X=-74,Y=-16658,Z=2799)","-90","-90","-30","1000","500"
"707","707","301001010","(X=6339,Y=7955,Z=2721)","-90","-90","-30","1000","350"
"801","801","201500010","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"802","802","201500020","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"803","803","201500030","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"804","804","201500040","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"810","810","201500010","(X=-26900.498047,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"820","820","201500010","(X=-12839.498047,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"830","830","201500010","(X=507.501953,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"840","840","201500010","(X=14172.501953,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"850","850","201500010","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"860","860","201500010","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"870","870","201500010","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"880","880","201500010","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"811","811","201500020","(X=-26900.498047,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"821","821","201500020","(X=-12839.498047,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"831","831","201500020","(X=507.501953,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"841","841","201500020","(X=14172.501953,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"851","851","201500020","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"861","861","201500020","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"871","871","201500020","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"881","881","201500020","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"812","812","201500030","(X=-26900.498047,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"822","822","201500030","(X=-12839.498047,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"832","832","201500030","(X=507.501953,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"842","842","201500030","(X=14172.501953,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"852","852","201500030","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"862","862","201500030","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"872","872","201500030","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"882","882","201500030","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"813","813","201500040","(X=-26900.498047,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"823","823","201500040","(X=-12839.498047,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"833","833","201500040","(X=507.501953,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"843","843","201500040","(X=14172.501953,Y=43063.000000,Z=10051.833008)","0","-1","-31","1230","0"
"853","853","201500040","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"863","863","201500040","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"873","873","201500040","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"883","883","201500040","(X=-7.025282,Y=882.981750,Z=-157.976227)","0","-1","-31","1230","0"
"901","901","201","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"902","902","202","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"903","903","203","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"904","904","204","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"905","905","205","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"906","906","206","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"907","907","207","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"908","908","208","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"909","909","211","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"910","910","212","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
"911","911","213","(X=-12623.314453,Y=21200.560547,Z=1007.649902)","0","-3","-4","1230","800"
